Section Header,RMF Pillar,RMF Pillar Description,Suggested Action,Status,Trait,Focus Area,Sub Category
MANAGE 4.3,MANAGE ,AI risk management practices are continuously improved.,"Continuously improve AI risk management practices based on monitoring results, incidents, audits, and external developments.",Reword and consolidate similar items,"Transparent, Value-Driven",Culture,Active Awareness
MANAGE 1.2,MANAGE ,Risk treatment measures are implemented to reduce identified AI risks.,"Implement technical, organizational, and procedural controls to reduce identified risks.",Combine ,TBD,Governance,Change Management
DASF,DASF,Secure feature stores,Access controls and governance protect feature data used in model training and inference.,Combine ,"Secure, Transparent",Security,Access Control
DASF,DASF,Isolate compute workloads,Workload isolation limits blast radius and prevents lateral movement across environments.,Reword and consolidate similar items,"Reliability, Value-Driven",Platform,Resilience
DASF,DASF,Scan artifacts for malware,Artifact scanning prevents malicious code or binaries from entering AI workflows.,Combine ,TBD,Platform,Resilience
DASF,DASF,Secure ML pipelines,"End-to-end pipeline security protects training, validation, and deployment stages.",Reword and consolidate similar items,"Secure, Transparent",Security,Data Classification and Controls
DASF,DASF,Validate training data provenance,Verifying data sources prevents data poisoning and untrusted inputs.,Reword and consolidate similar items,"Secure, Transparent",Security,Data Classification and Controls
DASF,DASF,Protect training environments,Securing training environments prevents unauthorized access to models and datasets.,Combine ,TBD,Security,Access Control
DASF,DASF,Monitor training behavior,Monitoring training jobs enables detection of anomalous or malicious activity.,Reword and consolidate similar items,"Transparent, Reliability, Value-Driven",Observability,Monitor and Action
DASF,DASF,Track model lineage,Lineage tracking ensures traceability from data to model versions.,Reword and consolidate similar items,"Reliability, Transparent",Observability,Evaluate and Measure 
DASF,DASF,Version models,"Versioning enables reproducibility, rollback, and auditability of model changes.",Combine ,TBD,Platform,Resilience
DASF,DASF,Validate model artifacts,Artifact validation ensures integrity of trained models before deployment.,Reword and consolidate similar items,"Transparent, Value-Driven",Platform,Automation
DASF,DASF,Monitor deployed models,"Continuous monitoring detects drift, abuse, or unexpected behavior in production.",Reword and consolidate similar items,"Reliability, Secure, Transparent",Observability,Monitor and Action
DASF,DASF,Log inference requests,"Logging inference activity supports auditing, troubleshooting, and abuse detection.",Combine ,TBD,Observability,Define and Instrument 
DASF,DASF,Secure model serving endpoints,Authentication and authorization prevent unauthorized inference and resource misuse.,Combine ,TBD,Security,Access Control
DASF,DASF,Track model performance,"Performance monitoring detects degradation, bias, or unexpected output patterns.",Reword and consolidate similar items,"Transparent, Reliability",Observability,Monitor and Action
DASF,DASF,Detect model drift,Drift detection identifies changes in data or behavior that impact accuracy or safety.,Reword and consolidate similar items,"Transparent, Reliability",Observability,Monitor and Action
DASF,DASF,Set up inference tables,"Structured inference logging supports governance, monitoring, and explainability.",Combine ,TBD,Observability,Define and Instrument 
DASF,DASF,Platform security testing,Continuous testing and vulnerability management strengthen platform defenses.,Reword and consolidate similar items,"Transparent, Secure",Platform,Automation
DASF,DASF,Continuous compliance monitoring,Ongoing compliance checks ensure adherence to regulatory and policy requirements.,Reword and consolidate similar items,"Transparent, Secure, Reliability",Observability,Monitor and Action
DASF,DASF,Secure API access,API authentication and authorization prevent unauthorized platform interactions.,Reword and consolidate similar items,"Reliability, Secure, Value-Driven",Platform,Integration and Collaboration 
MANAGE 1.2,MANAGE ,Risk treatment measures are implemented to reduce identified AI risks.,Validate that selected controls are appropriate for the AI system’s context and risk level.,Combine ,TBD,Observability,Define and Instrument 
DASF,DASF,Control vector search access,Access controls prevent unauthorized retrieval of embedded data.,Combine ,TBD,Security,Access Control
DASF,DASF,Filter sensitive outputs,Output filtering prevents leakage of PII or confidential information.,Combine ,TBD,Security,Guardrails
DASF,DASF,Enforce data retention policies,Retention controls ensure data is stored only as long as required.,Reword and consolidate similar items,"Transparent, Value-Driven",Platform,Automation
DASF,DASF,Source code control,"Version control systems ensure integrity, traceability, and rollback capability.",Combine ,TBD,Platform,Automation
DASF,DASF,Monitor audit logs,"Centralized audit logging supports detection, investigation, and compliance.",Combine ,TBD,Observability,Define and Instrument 
DASF,DASF,Restrict outbound connections,Network egress controls prevent data exfiltration and unauthorized communication.,Combine ,TBD,Platform,Integration and Collaboration 
DASF,DASF,Protect data with filters and masking,Row-level and column-level protections enforce fine-grained data access.,Reword and consolidate similar items,"Secure, Reliability",Security,Guardrails
MANAGE 2.3,MANAGE ,"AI-related incidents are detected, reported, and responded to.","Establish processes for detecting, reporting, and responding to AI-related incidents.",Combine ,TBD,Governance,Change Management
Well Architected,Operational excellence,, Implement prompt template management,Reword and consolidate similar items,"Reliability, Transparent, Value-Driven",Observability,Define and Instrument 
Well Architected,Operational excellence,, Enable tracing for agents and RAG workflows,Combine ,TBD,Observability,Define and Instrument 
Well Architected,Operational excellence,, Automate generative AI application lifecycle with infrastructure as code,Combine ,TBD,Platform,Automation
Well Architected,Security ,, Grant least privilege access to foundation model endpoints ,Reword and consolidate similar items,TBD,Security,Access Control
Well Architected,Security ,, Implement least privilege access permissions for foundation models ,Combine ,TBD,Security,Access Control
Well Architected,Security ,, Implement access monitoring to generative AI services and foundation models,Reword and consolidate similar items,"Reliability, Secure",Observability,Monitor and Action
Well Architected,Security ,, Implement guardrails to mitigate harmful or incorrect model responses,Combine ,TBD,Security,Guardrails
Well Architected,Security ,, Implement a secure prompt catalog  ,Combine ,TBD,Security,Guardrails
Well Architected,Security ,, Sanitize and validate user inputs to foundation models ,Combine ,TBD,Security,Guardrails
Well Architected,Security ,, Implement least privilege access and permissions boundaries for agentic,Combine ,TBD,Security,Access Control
Well Architected,Reliability   ,, Scale and balance foundation model throughput as a function of utilization,Reword and consolidate similar items,"Reliability, Value-Driven",Platform,Resilience
Well Architected,Reliability   ,, Use logic to manage prompt flows and gracefully recover from failure ,Reword and consolidate similar items,"Reliability, Value-Driven",Platform,Resilience
Well Architected,Reliability   ,, Implement a prompt catalog ,Reword and consolidate similar items,"Reliability, Value-Driven",Platform,Automation
Well Architected,Reliability   ,, Implement a model catalog  ,Combine ,TBD,Security,Guardrails
Well Architected,Reliability   ,, Design for fault tolerance,Reword and consolidate similar items,"Reliability, Value-Driven",Platform,Resilience
Well Architected,Performance efficiency  ,, Define a ground truth data set of prompts and responses ,Reword and consolidate similar items,"Transparent, Value-Driven",Observability,Evaluate and Measure 
Well Architected,Performance efficiency  ,, Collect performance metrics from generative AI workloads,Reword and consolidate similar items,"Transparent, Value-Driven",Observability,Evaluate and Measure 
Well Architected,Performance efficiency  ,, Optimize inference parameters to improve response quality ,Reword and consolidate similar items,"Reliability, Value-Driven",Observability,Monitor and Action
Well Architected,Performance efficiency  ,, Select and customize the appropriate model for your use case ,Reword and consolidate similar items,"Reliability, Value-Driven",Platform,Resilience
Well Architected,Performance efficiency  ,, Optimize vector sizes for your use case,Reword and consolidate similar items,"Reliability, Value-Driven",Observability,Monitor and Action
Well Architected,Cost optimization  ,,Right size model selection to optimize inference costs ,Combine ,"Reliability, Transparent, Value-Driven",Observability,Monitor and Action
Well Architected,Cost optimization  ,, Balance cost and performance when selecting inference paradigms ,Reword and consolidate similar items,"Reliability, Value-Driven",Observability,Monitor and Action
Well Architected,Cost optimization  ,, Optimize resource consumption to minimize hosting costs ,Reword and consolidate similar items,"Reliability, Value-Driven",Platform,Resilience
Well Architected,Cost optimization  ,, Optimize prompt token length ,Reword and consolidate similar items,"Reliability, Value-Driven",Observability,Evaluate and Measure 
Well Architected,Cost optimization  ,, Control model response length,Reword and consolidate similar items,"Reliability, Value-Driven",Observability,Evaluate and Measure 
Well Architected,Cost optimization  ,, Implement prompt caching to reduce token costs ,Reword and consolidate similar items,"Reliability, Value-Driven",Platform,Resilience
Well Architected,Cost optimization  ,, Annotate user input to enable cost,Combine ,"Value-Driven, Transparent, Reliability",Observability,Define and Instrument 
Well Architected,Sustainability  ,, Implement auto scaling and serverless architectures to optimize resouce consumption,Reword and consolidate similar items,"Reliability, Value-Driven",Platform,Automation
Well Architected,Sustainability  ,, Leverage smaller models and optimized inference techniques to reduce,Reword and consolidate similar items,"Reliability, Value-Driven",Platform,Resilience
MANAGE 3.1,MANAGE ,Stakeholders are engaged when managing AI system risks.,Provide appropriate notifications or disclosures related to AI system risks or incidents.,Combine ,TBD,Governance,Change Management
,,"The organization’s AI risk management policies, processes, procedures, and practices are documented, implemented, and enforced.",Detail model testing and validation processes.,Combine ,TBD,Observability,Define and Instrument 
,,"The organization’s AI risk management policies, processes, procedures, and practices are documented, implemented, and enforced.","Establish frequency and depth for monitoring, auditing, and review processes.",Combine ,TBD,Observability,Define and Instrument 
,,Organizational leadership demonstrates commitment and accountability for AI risk management.,Integrate harm-prevention mindset across the AI lifecycle.,Combine ,"Transparent, Value-Driven",Culture,Active Awareness
,,"Workforce diversity, equity, inclusion, and accessibility are integrated into AI risk management practices.",Facilitate inclusive policies and integration of new insights.,Combine ,TBD,Governance,Standards and Policies 
,,Human-AI interaction considerations are addressed to support appropriate oversight and use.,Establish proficiency standards and training protocols for AI actors.,Combine ,"Transparent, Value-Driven",Culture,Active Awareness
,,"AI system incidents are documented, analyzed, and addressed.",Commit organizationally to identifying AI system limitations and sharing insights within appropriate AI actor groups.,Combine ,Transparent,Culture,Purpose
,,, Enable tracing for agents and RAG workflows,Combine ,TBD,Observability,Define and Instrument 
